DATE,INDPRO_CHG
1972-12-01,0.5096
1973-01-01,0.2927
1973-02-01,0.6714
1973-03-01,0.0216
1973-04-01,-0.0635
1973-05-01,0.2955
1973-06-01,0.0317
1973-07-01,0.1912
1973-08-01,-0.0773
1973-09-01,0.4155
1973-10-01,0.3151
1973-11-01,0.2491
1973-12-01,-0.1130
1974-01-01,-0.3321
1974-02-01,-0.1456
1974-03-01,0.0147
1974-04-01,-0.1616
1974-05-01,0.3674
1974-06-01,-0.0510
1974-07-01,0.0231
1974-08-01,-0.4557
1974-09-01,0.0229
1974-10-01,-0.1735
1974-11-01,-1.5192
1974-12-01,-1.5869
1975-01-01,-0.5931
1975-02-01,-0.9807
1975-03-01,-0.4467
1975-04-01,0.0325
1975-05-01,-0.0945
1975-06-01,0.2709
1975-07-01,0.4010
1975-08-01,0.4339
1975-09-01,0.5223
1975-10-01,0.1891
1975-11-01,0.0927
1975-12-01,0.5359
1976-01-01,0.6315
1976-02-01,0.4437
1976-03-01,0.0400
1976-04-01,0.2518
1976-05-01,0.2098
1976-06-01,0.0089
1976-07-01,0.2705
1976-08-01,0.3202
1976-09-01,0.1294
1976-10-01,0.0176
1976-11-01,0.6771
1976-12-01,0.4876
1977-01-01,-0.2578
1977-02-01,0.7141
1977-03-01,0.5893
1977-04-01,0.4528
1977-05-01,0.4053
1977-06-01,0.3537
1977-07-01,0.0692
1977-08-01,0.0139
1977-09-01,0.2380
1977-10-01,0.0953
1977-11-01,0.0525
1977-12-01,0.0832
1978-01-01,-0.6883
1978-02-01,0.2436
1978-03-01,0.9426
1978-04-01,1.0440
1978-05-01,0.1908
1978-06-01,0.3557
1978-07-01,-0.0241
1978-08-01,0.1951
1978-09-01,0.1317
1978-10-01,0.4194
1978-11-01,0.3993
1978-12-01,0.2839
1979-01-01,-0.3433
1979-02-01,0.2850
1979-03-01,0.1670
1979-04-01,-0.6035
1979-05-01,0.4249
1979-06-01,-0.0030
1979-07-01,-0.0724
1979-08-01,-0.3534
1979-09-01,0.0587
1979-10-01,0.2904
1979-11-01,-0.0472
1979-12-01,0.0685
1980-01-01,0.2434
1980-02-01,0.0016
1980-03-01,-0.1759
1980-04-01,-1.0958
1980-05-01,-1.2698
1980-06-01,-0.6290
1980-07-01,-0.3886
1980-08-01,0.1794
1980-09-01,0.8130
1980-10-01,0.6427
1980-11-01,0.8904
1980-12-01,0.2968
1981-01-01,-0.3017
1981-02-01,-0.2408
1981-03-01,0.2765
1981-04-01,-0.2334
1981-05-01,0.3112
1981-06-01,0.2481
1981-07-01,0.3467
1981-08-01,-0.0072
1981-09-01,-0.3165
1981-10-01,-0.3565
1981-11-01,-0.6009
1981-12-01,-0.5666
1982-01-01,-1.0231
1982-02-01,0.9973
1982-03-01,-0.3912
1982-04-01,-0.4477
1982-05-01,-0.3247
1982-06-01,-0.1688
1982-07-01,-0.1554
1982-08-01,-0.4365
1982-09-01,-0.1513
1982-10-01,-0.4386
1982-11-01,-0.1954
1982-12-01,-0.3496
1983-01-01,0.9338
1983-02-01,-0.3074
1983-03-01,0.3966
1983-04-01,0.6021
1983-05-01,0.3409
1983-06-01,0.3005
1983-07-01,0.7644
1983-08-01,0.5721
1983-09-01,0.7849
1983-10-01,0.4376
1983-11-01,0.1855
1983-12-01,0.2809
1984-01-01,1.0665
1984-02-01,0.2342
1984-03-01,0.2702
1984-04-01,0.3462
1984-05-01,0.2627
1984-06-01,0.1944
1984-07-01,0.1757
1984-08-01,0.0534
1984-09-01,-0.0994
1984-10-01,-0.0923
1984-11-01,0.2208
1984-12-01,0.0629
1985-01-01,-0.0898
1985-02-01,0.1925
1985-03-01,0.0909
1985-04-01,-0.1539
1985-05-01,0.0795
1985-06-01,0.0413
1985-07-01,-0.3667
1985-08-01,0.2321
1985-09-01,0.2428
1985-10-01,-0.2335
1985-11-01,0.1901
1985-12-01,0.5909
1986-01-01,0.2646
1986-02-01,-0.3760
1986-03-01,-0.3924
1986-04-01,0.0179
1986-05-01,0.1224
1986-06-01,-0.1847
1986-07-01,0.3164
1986-08-01,-0.0759
1986-09-01,0.1151
1986-10-01,0.2659
1986-11-01,0.2601
1986-12-01,0.4831
1987-01-01,-0.1773
1987-02-01,0.7549
1987-03-01,0.0761
1987-04-01,0.3691
1987-05-01,0.3802
1987-06-01,0.2756
1987-07-01,0.4127
1987-08-01,0.4981
1987-09-01,0.1552
1987-10-01,0.8841
1987-11-01,0.3227
1987-12-01,0.3053
1988-01-01,0.0279
1988-02-01,0.2700
1988-03-01,0.1249
1988-04-01,0.3541
1988-05-01,-0.0736
1988-06-01,0.1600
1988-07-01,0.0270
1988-08-01,0.2630
1988-09-01,-0.1733
1988-10-01,0.3132
1988-11-01,0.1006
1988-12-01,0.3105
1989-01-01,0.1920
1989-02-01,-0.2911
